"","ID","CommunityName","BeachName","BeachCountrycode","BeachRegionalSea","BeachLength_m","BeachLocation","BeachType","EventType","EventYear","EventMonth","EventDay","G1","G3","G4","G5","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G40","G41","G42","G43","G44","G45","G46","G47","G49","G50","G52","G53","G54","G56","G57","G58","G59","G60","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G76","G77","G79","G80","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G95","G96","G97","G98","G99","G100","G101","G102","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G137","G138","G139","G140","G141","G142","G143","G144","G145","G147","G148","G150","G151","G152","G153","G154","G155","G156","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G171","G172","G174","G175","G176","G177","G178","G179","G180","G181","G182","G184","G186","G187","G188","G189","G190","G191","G193","G194","G195","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G210","G211","G213","geometry"
"332",332,"Legambiente Onlus","Cala Sala - Cala Incina, Polignano a Mare (BA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2015","05","10",NA,NA,NA,NA,NA,16,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,c(17.2575100003609, 40.9802000000963)
"333",333,"Legambiente Onlus","Spiaggia libera Magazzeno, Pontecagnano (SA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2018","04","28",NA,3,NA,NA,50,10,3,3,NA,NA,NA,NA,NA,NA,20,2,2,5,3,60,5,NA,3,19,13,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,12,NA,6,15,NA,NA,2,3,6,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531,20,190,3,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,18,NA,6,31,NA,3,1,4,NA,NA,NA,NA,NA,9,4,16,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,11,4,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,24,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,12,NA,NA,NA,3,NA,NA,NA,NA,NA,10,NA,c(14.8571799997843, 40.6093100002499)
"334",334,"Legambiente Onlus","Spiaggia libera Magazzeno, Pontecagnano (SA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","22",NA,24,45,NA,73,56,13,24,1,7,6,NA,2,3,1,4,1,18,5,3,1,10,8,70,4,1,17,2,NA,66,37,7,1,NA,3,NA,10,NA,NA,NA,NA,NA,5,NA,NA,NA,2,5,NA,1,4,NA,1,NA,1,8,5,6,8,NA,NA,22,NA,20,NA,NA,150,11,105,7,NA,1,NA,NA,NA,5,6,NA,6,NA,NA,10,NA,10,6,10,NA,NA,5,2,2,NA,13,NA,NA,NA,NA,1,19,12,24,3,NA,NA,4,NA,NA,7,4,3,NA,5,22,NA,10,NA,14,1,2,NA,4,NA,1,NA,NA,NA,NA,9,NA,9,20,NA,7,6,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,1,1,NA,3,NA,44,NA,NA,NA,2,1,NA,NA,15,1,8,NA,c(14.8571799997843, 40.6093100002499)
"335",335,"Legambiente Onlus","Spiaggia di Pioppi, Salerno","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","29",NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2,NA,NA,NA,150,NA,NA,19,1,1,1,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,25,NA,35,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,5,NA,NA,NA,1,1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,13,NA,NA,7,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,c(15.0898300003857, 40.1738200001186)
"336",336,"Legambiente Onlus","Spiaggia di Monaco, Maruggio (TA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","08",NA,3,2,NA,6,4,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,36,28,41,49,NA,1,121,NA,NA,1,11,1,43,NA,36,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,1,28,NA,NA,NA,2,1,1,NA,16,6,NA,NA,1,10,1,NA,NA,2,5,NA,NA,NA,NA,136,NA,32,1,1,NA,NA,NA,NA,1,1,NA,1,NA,114,NA,NA,1,3,1,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,NA,NA,NA,5,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,16,NA,NA,NA,c(17.5934900002106, 40.2993330000181)
"337",337,"Legambiente Onlus","Spiaggia del Pezzolo a Marina di Seiano, Vico Equense (NA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2016","05","13",NA,6,2,NA,6,8,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,20,NA,NA,NA,NA,1,NA,NA,1,30,NA,NA,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,60,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,138,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,83,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,6,19,NA,NA,NA,2,40,NA,NA,101,NA,1,NA,NA,NA,NA,NA,NA,NA,c(14.4200900000613, 40.6610300000809)
"338",338,"Legambiente Onlus","Spiaggia Palombina, Ancona (AN)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2015","05","06",NA,12,1,NA,16,23,26,NA,NA,NA,5,NA,2,NA,1,NA,1,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,1,NA,NA,2,8,NA,500,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,6,3,9,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(13.452222199623, 43.6110278002266)
"339",339,"Legambiente Onlus","Spiaggia di Babbaluciara, Agrigento (AG)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2014","05","21",NA,7,6,1,366,218,8,9,NA,3,3,2,NA,NA,2,15,6,23,NA,NA,NA,NA,NA,NA,NA,1,12,NA,11,37,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,NA,7,NA,2,2,NA,NA,2,NA,NA,1,46,9,NA,2,1,NA,4,290,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,NA,3,NA,NA,NA,NA,NA,25,49,8,NA,1,25,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,55,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,c(13.5681099997564, 37.2768399999074)
"340",340,"Legambiente Onlus","Spiaggia Vascello doro, Comacchio (FE)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","13",NA,NA,NA,1,9,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,12,NA,1,1,NA,3,5,NA,2,NA,1,NA,NA,NA,NA,NA,70,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,192,NA,58,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,32,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,c(12.2404500001749, 44.7061299999806)
"341",341,"Legambiente Onlus","Spiaggia della Riserva della Sentina, San Benedetto del Tronto (AP)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","30",1,3,2,NA,4,16,2,NA,1,2,1,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,1,20,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,c(13.9143199996886, 42.8957600000338)
"342",342,"CpjJwWHV","Test beach Nabrezina Gasper Subelj","IT","Mediterranean Sea",111,"Rural","Pebbels","Cleanup","2023","02","02",5,11,NA,NA,NA,NA,2,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(13.657341, 45.7495755)
"343",343,"CpjJwWHV","predstavitev","IT","Mediterranean Sea",645,"Rural","Pebbels","Cleanup","2019","01","31",NA,5,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,c(13.7253468418876, 45.6053599575447)
"344",344,"Legambiente Onlus","Coccia di Morto beach","IT","Mediterranean Sea",86,"Urban","Sandy","Monitoring","2016","10","17",NA,10,6,6,10,6,16,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,8,22,350,8,NA,30,2,NA,60,28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,60,NA,45,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2750,2,1,NA,12,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,20,NA,NA,NA,NA,2,1,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,23,NA,NA,NA,NA,NA,NA,6,2,NA,NA,c(12.2173300004188, 41.7994899999167)
"345",345,"Surfrider Foundation Europe","1350 Via Litoranea, 00122 00122, Italie","IT","Mediterranean Sea",84,NA,NA,"Cleanup","2015","05","24",NA,50,NA,NA,8,10,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,3,100,NA,NA,20,100,10,10,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,c(12.3771999995822, 41.682999999842)
"346",346,"CpjJwWHV","Ognina, Sicily","IT","Mediterranean Sea",4,"Rural","Sandy","Cleanup","2018","07","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(15.2598312127982, 36.978299459161)
"347",347,"Legambiente Onlus","Spiaggia Giannella, Orbetello (GR)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2016","05","13",NA,2,5,NA,1,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,4,NA,1,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,136,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,1,2,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,c(11.1823400002043, 42.4595100000688)
"348",348,"Legambiente Onlus","Spiaggia di Civitanova Marche, Macerata (MT)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","22",NA,3,NA,2,5,6,3,4,NA,1,1,NA,NA,NA,NA,NA,NA,18,3,11,6,4,6,25,2,NA,NA,NA,NA,3,NA,20,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,12,NA,NA,NA,NA,NA,188,1,1,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,4,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,5,5,NA,NA,NA,4,NA,NA,NA,NA,2,3,NA,NA,4,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,1,NA,NA,NA,31,1,NA,NA,c(13.7405499998247, 43.298049999675)
"349",349,"Legambiente Onlus","Marina di Priolo Gargallo, Siracusa (SR)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2016","05","12",NA,4,NA,NA,30,NA,5,NA,NA,NA,NA,NA,3,3,1,NA,NA,10,NA,NA,NA,NA,4,100,NA,NA,1,NA,NA,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,5,20,NA,3,NA,NA,100,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,20,1,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(15.2264700001881, 37.1516800001188)
"350",350,"Legambiente Onlus","Spiaggia di Coccia di Morto, Fiumicino (RM)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2014","05","20",2,8,NA,NA,59,70,16,14,NA,15,2,2,NA,2,NA,NA,2,247,NA,NA,NA,NA,2,NA,1,1,NA,NA,8,12,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,16,NA,3,28,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,1,3,NA,1,3,NA,NA,7,1,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,1,3,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,5,4,2,2,NA,5,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,24,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,c(12.2234899998502, 41.7777500002288)
"351",351,"Legambiente Onlus","Oasi dunale Torre di Mare, Capaccio-Paestum (SA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","28",4,10,4,NA,9,6,NA,2,NA,1,1,NA,NA,NA,NA,3,1,22,2,2,1,1,1,14,2,NA,1,1,2,14,2,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,5,NA,3,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,11,2,12,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,1,NA,2,7,1,NA,7,1,19,NA,NA,8,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,2,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,12,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,c(14.9860900001602, 40.4188199999598)
"352",352,"Legambiente Onlus","Spiaggia della Feniglia, Orbetello (GR)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2015","05","05",NA,7,NA,NA,1,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,3,10,1,NA,30,NA,NA,4,3,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,2,2,NA,3,NA,2,3,3,NA,NA,6,NA,NA,19,252,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,1,NA,3,20,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,2,NA,12,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,c(11.2689400001801, 42.4193699999963)
"353",353,"Clean Sea LIFE","Ansedonia, Tagliata","IT","Mediterranean Sea",98,NA,NA,"Monitoring","2017","03","26",1,38,0,1,9,3,1,0,1,1,8,1,1,NA,NA,1,NA,86,9,89,28,2,6,6,10,1,12,10,12,5,3,8,NA,0,NA,NA,NA,1,NA,1,NA,NA,2,9,0,NA,NA,NA,NA,NA,3,1,NA,NA,NA,2,7,0,NA,NA,17,5,NA,1,NA,NA,322,4,4,5,NA,NA,NA,4,NA,5,5,0,NA,3,413,0,NA,NA,11,3,0,NA,35,6,0,NA,0,NA,NA,1,NA,0,0,1,0,NA,NA,NA,0,NA,0,0,5,1,1,0,1,6,0,0,5,0,1,0,NA,NA,NA,NA,0,NA,0,2,1,NA,7,0,5,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,3,1,1,0,1,0,18,NA,NA,0,7,NA,NA,NA,7,6,0,2,c(11.2983968857321, 42.4082607772278)
"354",354,"Legambiente Onlus","Stazione Tollo lido Riccio di Ortona (CH)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2015","07","05",NA,30,50,20,NA,NA,40,NA,NA,50,NA,10,5,8,NA,9,NA,80,NA,NA,NA,NA,25,150,15,NA,40,NA,9,150,120,NA,18,35,12,NA,8,20,NA,25,NA,NA,35,25,NA,10,8,30,12,NA,25,2,NA,3,NA,NA,30,18,NA,NA,NA,15,NA,NA,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,10,15,NA,NA,25,NA,NA,NA,5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20,40,NA,NA,NA,NA,30,40,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,15,12,30,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(14.3525900003177, 42.3890999996873)
"355",355,"Legambiente Onlus","Spiaggetta di Ginosa (TA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2015","04","05",5,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,2,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,5,NA,NA,NA,NA,1,12,1,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(16.8902999995901, 40.4236600000675)
"356",356,"Perseus","Marina di Vecchiano","IT","Mediterranean Sea",629,"Near river mouth","Sandy","Cleanup","2015","01","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(10.2686057675452, 43.7850372722843)
